Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
metaquestoculus,https://www.nitrotype.com/racer/metaquestoculus,IwillNotBreak,Ghoul Gamer,49,260,46.76754939050021,285,33673.85631828382,95.76127988495416,BEEHVE
25df21f743366b387163cc97bc62d4d7,https://www.nitrotype.com/racer/25df21f743366b387163cc97bc62d4d7,idk what,Phantom Fingers,331,0,47.80779498131341,302,33651.75558641091,89.93232377378719,RR
70aa6ded3260604ec11d7e78841dd351,https://www.nitrotype.com/racer/70aa6ded3260604ec11d7e78841dd351,MGgggy,Millionaire,58,0,47.031958762886596,309,33647.553499795606,88.16005786808707,ZL
9722a1f8584526b188dfe959740d16e5,https://www.nitrotype.com/racer/9722a1f8584526b188dfe959740d16e5,Kiwi -_-,The ATM Machine,223,0,58.6052067381317,267,33604.70501018904,97.33780690476938,GSGMWO
fortnitegamer1943y3,https://www.nitrotype.com/racer/fortnitegamer1943y3,fortnitegamer1943y3,Raw Racing Recruit,162,0,29.518582328328822,316,33597.06993495696,92.64595527540148,NTPTS
4fb2df56b908bc348a2396af2035ba38,https://www.nitrotype.com/racer/4fb2df56b908bc348a2396af2035ba38,Astrolotl,Raw Racing Recruit,312,20,40.91260053619303,299,33582.20205616556,93.241330502477,NTPTS
31d7e2e6dbcc6da69e6950ec49a9b003,https://www.nitrotype.com/racer/31d7e2e6dbcc6da69e6950ec49a9b003,lebronthegoat,Ninja,262,120,61.104615384615386,296,33552.05483427394,86.82461352535374,ALFJ
4adc5d87ec532573c9c335c9918c4bf2,https://www.nitrotype.com/racer/4adc5d87ec532573c9c335c9918c4bf2,PEBBLE DANDYS WORLD,Wampus Thwamper,233,0,37.76646706586827,308,33492.61317099431,91.46979546535596,DAGRUP
08f5763620cceed935499dd0e5f2b9a8,https://www.nitrotype.com/racer/08f5763620cceed935499dd0e5f2b9a8,theflash,Original Gangster,214,0,43.7551336691205,311,33388.96228213738,88.08840718308363,FERARI
95bf2ef7cc2293b276294323d799ed35,https://www.nitrotype.com/racer/95bf2ef7cc2293b276294323d799ed35,QBOrange1915,Epic Engager,218,320,74.98862642169729,267,33376.18949842162,90.91609109576255,ZSH
adb2a760ffdd6aeb06384bcf3646caf4,https://www.nitrotype.com/racer/adb2a760ffdd6aeb06384bcf3646caf4,MAREKTHEZOOMMASTER,The ATM Machine,316,160,44.210436755530345,289,33376.00756383057,94.58065509410723,WBMS12
sam563t,https://www.nitrotype.com/racer/sam563t,sam563t,Raw Racing Recruit,162,0,62.51830498702795,276,33374.10477539147,92.12360980468102,ZSH
2aea2a23bd9e576657776695b19b5bde,https://www.nitrotype.com/racer/2aea2a23bd9e576657776695b19b5bde,Chewy2023,Epic Nitro User,83,20,57.60475314754562,269,33309.260960390915,96.13661814109743,WBMS12
epippin19,https://www.nitrotype.com/racer/epippin19,,Spring-a-round,316,80,77.52485494746746,249,33281.247705000336,96.32263702121462,FFS
6409d2cd8b1e29a990ec4a896c2c944c,https://www.nitrotype.com/racer/6409d2cd8b1e29a990ec4a896c2c944c,KING GOD1,Wampus Thwamper,374,20,71.06575386085018,254,33266.64065277009,96.63413716159906,WP
09b4d1a229598b2f703e75e8580002e1,https://www.nitrotype.com/racer/09b4d1a229598b2f703e75e8580002e1,Dueces,Santa’s Lil’ Helper,377,200,44.69342767723499,295,33253.265563069144,92.13401044901538,ST0RM
9e0f8d0dee3b8f3fcf5e386754bb7124,https://www.nitrotype.com/racer/9e0f8d0dee3b8f3fcf5e386754bb7124,Ismael 000,Original Gangster,265,140,57.21139680333565,290,33244.58990782326,89.13797627029706,CAT4
